1, Fabian Cancellara, Team Saxo Bank, in 1h 00′ 56″
2, Tony Martin, Team HTC-Columbia, at 00:17
3, Bert Grabsch, Team HTC-Columbia, at 01:48
4, Ignatas Konovalovas, Cérvelo Test Team, at 02:34
5, David Zabriskie, Garmin – Transitions, at 03:00
6, Koos Moerenhout, Rabobank, at 03:03
7, Vasil Kiryienka, Caisse D’Epargne, at 03:10
8, Maarten Tjallingii, Rabobank, at 03:21
9, Bradley Wiggins, Sky Pro Cycling, at 03:33
10, Geraint Thomas, Sky Pro Cycling, at 03:38
11, Denis Menchov, Rabobank, at 03:51
12, Jérémy Roy, FDJ, at 04:00
13, Stuart O’grady, Team Saxo Bank, at 04:06
14, Maxime Monfort, Team HTC-Columbia, at 04:14
15, Pavel Brutt, Katusha Team, at 04:15
16, Nicki Sorensen, Team Saxo Bank, at 04:15
17, David Millar, Garmin – Transitions, at 04:20
18, Jürgen Roelandts, Omega Pharma – Lotto, at 04:33
19, Dmitriy Muravyev, Team RadioShack, at 04:38
20, Steve Morabito, BMC Racing Team, at 04:39
21, Chris Sorensen, Team Saxo Bank, at 04:46
22, Martijn Maaskant, Garmin – Transitions, at 04:48
23, Kanstantsin Sivtsov, Team HTC-Columbia, at 04:59
24, Sébastien Turgot, BBox Bouygues Telecom, at 05:02
25, Sebastian Lang, Omega Pharma – Lotto, at 05:07
26, Jakob Fuglsang, Team Saxo Bank, at 05:08
27, Anthony Roux, FDJ, at 05:09
28, Christophe Kern, Cofidis Le Credit En Ligne, at 05:14
29, Antonio Flecha Juan, Sky Pro Cycling, at 05:15
30, Daniel Lancaster Brett, Cérvelo Test Team, at 05:16
31, Yaroslav Popovych, Team RadioShack, at 05:28
32, Danilo Hondo, Lampre – Farnese, at 05:30
33, Alexandre Vinokourov, Astana, at 05:32
34, Dimitri Champion, Ag2r La Mondiale, at 05:38
35, Alberto Contador, Astana, at 05:43
36, Dries Devenyns, Quick Step, at 05:43
37, Carlos Barredo, Quick Step, at 05:48
38, Walle Jurgen Van De, Quick Step, at 05:50
39, Amaël Moinard, Cofidis Le Credit En Ligne, at 05:51
40, Samuel Sanchez, Euskaltel – Euskadi, at 05:51
41, Levi Leipheimer, Team RadioShack, at 05:59
42, Brent Bookwalter, BMC Racing Team, at 06:01
43, Arkaitz Duran Aroca, Footon-Servetto, at 06:13
44, Andy Schleck, Team Saxo Bank, at 06:14
45, Daniel Oss, Liquigas-Doimo, at 06:20
46, Andriy Grivko, Astana, at 06:26
47, Imanol Erviti, Caisse D’Epargne, at 06:29
48, Carlos Sastre, Cérvelo Test Team, at 06:30
49, Nicolas Vogondy, BBox Bouygues Telecom, at 06:31
50, Sylvain Chavanel, Quick Step, at 06:38
51, Rafael Valls Ferri, Footon-Servetto, at 06:39
52, Ryder Hesjedal, Garmin – Transitions, at 06:40
53, Nicolas Roche, Ag2r La Mondiale, at 06:42
54, Matthieu Sprick, BBox Bouygues Telecom, at 06:44
55, Damien Monier, Cofidis Le Credit En Ligne, at 06:47
56, Maarten Wynants, Quick Step, at 06:49
57, Grischa Niermann, Rabobank, at 06:49
58, Manuel Quinziato, Liquigas-Doimo, at 06:53
59, Luke Roberts, Team Milram, at 06:53
60, Alessandro Petacchi, Lampre – Farnese, at 06:54
61, Alexandr Pliuschin, Katusha Team, at 06:54
62, Matti Breschel, Team Saxo Bank, at 06:56
63, Maxime Bouet, Ag2r La Mondiale, at 06:57
64, Thomas Rohregger, Team Milram, at 07:00
65, George Hincapie, BMC Racing Team, at 07:03
66, Martin Elmiger, Ag2r La Mondiale, at 07:04
67, Lance Armstrong, Team RadioShack, at 07:05
68, Linus Gerdemann, Team Milram, at 07:07
69, Christopher Horner, Team RadioShack, at 07:08
70, Janez Brajkovic, Team RadioShack, at 07:09
71, Broeck Jurgen Van Den, Omega Pharma – Lotto, at 07:10
72, Stephen Cummings, Sky Pro Cycling, at 07:11
73, Ruben Plaza Molina, Caisse D’Epargne, at 07:11
74, Oscar Freire, Rabobank, at 07:11
75, Pierrick Fedrigo, BBox Bouygues Telecom, at 07:11
76, Adriano Malori, Lampre – Farnese, at 07:14
77, Christophe Moreau, Caisse D’Epargne, at 07:14
78, Joaquin Rojas Jose, Caisse D’Epargne, at 07:16
79, Luis-leon Sanchez, Caisse D’Epargne, at 07:18
80, Michaël Barry, Sky Pro Cycling, at 07:19
81, Manuel Garate Juan, Rabobank, at 07:20
82, Roman Kreuziger, Liquigas-Doimo, at 07:25
83, Matthew Lloyd, Omega Pharma – Lotto, at 07:27
84, Francesco Gavazzi, Lampre – Farnese, at 07:33
85, Kevin De Weert, Quick Step, at 07:34
86, Mark Cavendish, Team HTC-Columbia, at 07:34
87, Andréas KlÖden, Team RadioShack, at 07:35
88, Jérémy Hunt, Cérvelo Test Team, at 07:46
89, Alessandro Ballan, BMC Racing Team, at 07:47
90, Sergio Paulinho, Team RadioShack, at 07:49
91, Karsten Kroon, BMC Racing Team, at 07:49
92, Alexandr Kolobnev, Katusha Team, at 07:51
93, Benoît Vaugrenard, FDJ, at 07:51
94, Johannes FrÖhlinger, Team Milram, at 07:54
95, Michael Rogers, Team HTC-Columbia, at 07:56
96, Francesco Bellotti, Liquigas-Doimo, at 07:58
97, Thomas LÖvkvist, Sky Pro Cycling, at 07:59
98, Christian Knees, Team Milram, at 08:01
99, Fabian Wegmann, Team Milram, at 08:02
100, Ivan Gutierrez José, Caisse D’Epargne, at 08:04
101, Aitor Perez Arrieta, Footon-Servetto, at 08:15
102, Francis De Greef, Omega Pharma – Lotto, at 08:15
103, Matthieu Ladagnous, FDJ, at 08:16
104, Alan Perez Lezaun, Euskaltel – Euskadi, at 08:25
105, Volodymir Gustov, Cérvelo Test Team, at 08:25
106, Grega Bole, Lampre – Farnese, at 08:28
107, Stéphane Auge, Cofidis Le Credit En Ligne, at 08:28
108, Eduard Vorganov, Katusha Team, at 08:30
109, Robert Gesink, Rabobank, at 08:33
110, Ruben Perez Moreno, Euskaltel – Euskadi, at 08:36
111, Eros Capecchi, Footon-Servetto, at 08:36
112, Sandy Casar, FDJ, at 08:39
113, Mario Aerts, Omega Pharma – Lotto, at 08:40
114, Maxim Iglinskiy, Astana, at 08:41
115, Jérôme Pineau, Quick Step, at 08:44
116, Paolo Tiralongo, Astana, at 08:44
117, Gregory Rast, Team RadioShack, at 08:45
118, Pierre Rolland, BBox Bouygues Telecom, at 08:50
119, Inaki Isasi, Euskaltel – Euskadi, at 08:50
120, José-alberto Benitez, Footon-Servetto, at 08:55
121, Aleksandr Kuchynski, Liquigas-Doimo, at 09:01
122, Da Costa Rui Alberto Faria, Caisse D’Epargne, at 09:02
123, Wesley Sulzberger, FDJ, at 09:03
124, Thor Hushovd, Cérvelo Test Team, at 09:03
125, Anthony Geslin, FDJ, at 09:05
126, Yukiya Arashiro, BBox Bouygues Telecom, at 09:07
127, Benjamin Noval Gonzalez, Astana, at 09:09
128, Thomas Voeckler, BBox Bouygues Telecom, at 09:11
129, Gorka Verdugo, Euskaltel – Euskadi, at 09:13
130, Julian Dean, Garmin – Transitions, at 09:13
131, Sylvester Szmyd, Liquigas-Doimo, at 09:13
132, Mauro Da Dalto, Lampre – Farnese, at 09:15
133, Jens Voigt, Team Saxo Bank, at 09:18
134, Cyril Gautier, BBox Bouygues Telecom, at 09:19
135, Bernhard Eisel, Team HTC-Columbia, at 09:21
136, Marcus Burghardt, BMC Racing Team, at 09:23
137, Rémi Pauriol, Cofidis Le Credit En Ligne, at 09:24
138, Brian Vandborg, Liquigas-Doimo, at 09:28
139, Johan Van Summeren, Garmin – Transitions, at 09:29
140, Kevin Seeldrayers, Quick Step, at 09:32
141, Egoi Martinez, Euskaltel – Euskadi, at 09:42
142, Rinaldo Nocentini, Ag2r La Mondiale, at 09:47
143, Mirco Lorenzetto, Lampre – Farnese, at 09:47
144, Mathieu Perget, Caisse D’Epargne, at 09:49
145, Ivan Basso, Liquigas-Doimo, at 09:51
146, Daniel Navarro, Astana, at 09:57
147, Daniel Moreno Fernandez, Omega Pharma – Lotto, at 09:58
148, Christophe Le Mevel, FDJ, at 10:02
149, Robbie Mc Ewen, Katusha Team, at 10:06
150, Julien El Fares, Cofidis Le Credit En Ligne, at 10:09
151, Boasson Hagen Edvald, Sky Pro Cycling, at 10:11
152, Kristjan Koren, Liquigas-Doimo, at 10:13
153, Rémy Di Gregorio, FDJ, at 10:14
154, Joaquin Rodriguez Oliver, Katusha Team, at 10:17
155, Daniel Lloyd, Cérvelo Test Team, at 10:19
156, Fuente David De La, Astana, at 10:20
157, Anthony Charteau, BBox Bouygues Telecom, at 10:28
158, Gerald Ciolek, Team Milram, at 10:29
159, Christophe Riblon, Ag2r La Mondiale, at 10:29
160, Lars Boom, Rabobank, at 10:30
161, Andreas Klier, Cérvelo Test Team, at 10:33
162, Damiano Cunego, Lampre – Farnese, at 10:40
163, Serge Pauwels, Sky Pro Cycling, at 10:44
164, Serguei Ivanov, Katusha Team, at 10:55
165, Jesus Hernandez Blazquez, Astana, at 10:55
166, Cadel Evans, BMC Racing Team, at 10:57
167, Lloyd Mondory, Ag2r La Mondiale, at 11:02
168, Ivan Velasco, Euskaltel – Euskadi, at 11:31
169, Sébastien Minard, Cofidis Le Credit En Ligne, at 11:33
170, John Gadret, Ag2r La Mondiale, at 11:48
