101, Daniel Navarro, Saxo Bank Sungard, at 06:14
102, David Arroyo, Movistar Team, at 06:14
103, Sébastien Turgot, Team Europcar, at 06:15
104, Imanol Erviti, Movistar Team, at 06:18
105, Thor Hushovd, Team Garmin – Cervelo, at 06:19
106, Fabrice Jeandesboz, Saur-Sojasun, at 06:21
107, Egor Silin, Katusha Team, at 06:23
108, Johnny Hoogerland, Vacansoleil-Dcm, at 06:23
109, David Moncoutie, Cofidis Le Credit En Ligne, at 06:25
110, Gorka Izagirre Insausti, Euskaltel – Euskadi, at 06:25
111, Steve Morabito, Bmc Racing Team, at 06:28
112, Sébastien Hinault, Ag2r La Mondiale, at 06:28
113, Marco Marcato, Vacansoleil-Dcm, at 06:29
114, Nicolas Roche, Ag2r La Mondiale, at 06:29
115, Manuel Quinziato, Bmc Racing Team, at 06:30
116, Jesus Hernandez Blazquez, Saxo Bank Sungard, at 06:32
117, Ivan Gutierrez José, Movistar Team, at 06:34
118, Joost Posthuma, Team Leopard-Trek, at 06:36
119, Paolo Longo Borghini, Liquigas-Cannondale, at 06:45
120, Arnaud Coyot, Saur-Sojasun, at 06:47
121, Amaël Moinard, Bmc Racing Team, at 06:50
122, Rigoberto Uran, Sky Procycling, at 06:51
123, Andriy Grivko, Pro Team Astana, at 06:54
124, Laurens Ten Dam, Rabobank Cycling Team, at 06:56
125, Alessandro Petacchi, Lampre – Isd, at 06:56
126, Jonathan Hivert, Saur-Sojasun, at 07:04
127, Ruben Perez Moreno, Euskaltel – Euskadi, at 07:08
128, Marcus Burghardt, Bmc Racing Team, at 07:09
129, Andrey Amador, Movistar Team, at 07:09
130, Ben Swift, Sky Procycling, at 07:14
131, Samuel Dumoulin, Cofidis Le Credit En Ligne, at 07:19
132, Julian Dean, Team Garmin – Cervelo, at 07:22
133, Jimmy Engoulvent, Saur-Sojasun, at 07:24
134, Yohann Gene, Team Europcar, at 07:28
135, Blel Kadri, Ag2r La Mondiale, at 07:30
136, Alan Perez Lezaun, Euskaltel – Euskadi, at 07:31
137, Marcel Sieberg, Omega Pharma – Lotto, at 07:36
138, Addy Engels, Quick Step Cycling Team, at 07:39
139, André Greipel, Omega Pharma – Lotto, at 07:39
140, Danilo Hondo, Lampre – Isd, at 07:39
141, Tristan Valentin, Cofidis Le Credit En Ligne, at 07:41
142, Tyler Farrar, Team Garmin – Cervelo, at 07:44
143, Mickaël Delage, Fdj, at 07:53
144, Bauke Mollema, Rabobank Cycling Team, at 07:54
145, Francisco Ventoso, Movistar Team, at 07:55
146, Laurent Mangel, Saur-Sojasun, at 07:55
147, Gerald Ciolek, Quick Step Cycling Team, at 08:07
148, Arthur Vichot, Fdj, at 08:09
149, Fabio Sabatini, Liquigas-Cannondale, at 08:11
