1, Christopher FROOME, Sky, in 51:33
2, Alberto CONTADOR VELASCO, Saxo-Tinkoff, at :09
3, Joaquin RODRIGUEZ OLIVER, Katusha, at :10
4, Roman KREUZIGER, Saxo-Tinkoff, at :23
5, Alejandro VALVERDE BELMONTE, Movistar, at :30
6, Nairo Alexander QUINTANA ROJAS, Movistar, at 1:11
7, Michal KWIATKOWSKI, Omega Pharma-Quick Step, at 1:33
8, Jakob FUGLSANG, Astana, at 1:34
9, Andrew TALANSKY, Garmin-Sharp, at 1:41
10, Tejay VAN GARDEREN, BMC Racing, at 1:51
11, Bauke MOLLEMA, Belkin, at 2:09
12, Maxime MONFORT, RadioShack-Leopard, at 2:17
13, Michael ROGERS, Saxo-Tinkoff, at 2:25
14, Jon IZAGUIRRE INSAUSTI, Euskaltel-Euskadi, at 2:25
15, Andy SCHLECK, RadioShack-Leopard, at 2:27
16, Laurens TEN DAM, Belkin, at 2:29
17, Lieuwe WESTRA, Vacansoleil-DCM, at 2:29
18, Rein TAARAMAE, Cofidis, at 2:40
19, Thomas DE GENDT, Vacansoleil-DCM, at 2:41
20, Alessandro DE MARCHI, Cannondale, at 2:42
21, Andreas KLÖDEN, RadioShack-Leopard, at 2:46
22, Daniel NAVARRO GARCIA, Cofidis, at 2:49
23, Peter VELITS, Omega Pharma-Quick Step, at 2:49
24, Arnold JEANNESSON, FDJ.fr, at 2:53
25, Christophe RIBLON, Ag2r La Mondiale, at 2:54
26, Alexandre GENIEZ, FDJ.fr, at 2:57
27, Tony MARTIN, Omega Pharma-Quick Step, at 3:06
28, Ryder HESJEDAL, Garmin-Sharp, at 3:07
29, Sylvain CHAVANEL, Omega Pharma-Quick Step, at 3:12
30, Ruben PLAZA MOLINA, Movistar, at 3:15
31, Moreno MOSER, Cannondale, at 3:20
32, Daniel MARTIN, Garmin-Sharp, at 3:22
33, Jérémy ROY, FDJ.fr, at 3:27
34, Romain SICARD, Euskaltel-Euskadi, at 3:28
35, John GADRET, Ag2r La Mondiale, at 3:31
36, Julien EL FARES, Sojasun, at 3:43
37, Pierrick FEDRIGO, FDJ.fr, at 3:44
38, Mikel NIEVE ITURALDE, Euskaltel-Euskadi, at 3:45
39, Jerome COPPEL, Cofidis, at 3:45
40, Rudy MOLARD, Cofidis, at 3:47
