1, Bradley WIGGINS, Sky, in 1:04:13
2, Christopher FROOME, Sky, at 1:16
3, Luis Leon SANCHEZ GIL, Rabobank, at 1:50
4, Peter VELITS, Omega Pharma-Quick Step, at 2:02
5, Richie PORTE, Sky, at 2:25
6, Patrick GRETSCH, Argos-Shimano, at 2:28
7, Tejay VAN GARDEREN, BMC Racing, at 2:34
8, Vasil KIRYIENKA, Movistar, at 2:46
9, Rein TAARAMAE, Cofidis, at 2:50
10, Jérémy ROY, FDJ-BigMat, at 3:05
11, David ZABRISKIE, Garmin-Sharp, at 3:12
12, Matthieu SPRICK, Argos-Shimano, at 3:20
13, Ruben PLAZA MOLINA, Movistar, at 3:24
14, Daniel OSS, Liquigas-Cannondale, at 3:27
15, Anthony ROUX, FDJ-BigMat, at 3:34
16, Vincenzo NIBALI, Liquigas-Cannondale, at 3:38
17, Christian VANDEVELDE, Garmin-Sharp, at 3:40
18, Bert GRABSCH, Omega Pharma-Quick Step, at 3:43
19, Jens VOIGT, RadioShack-Nissan, at 3:49
19, Andreas KLÖDEN, RadioShack-Nissan, at 3:49
21, Christophe KERN, Europcar, at 3:56
22, Dries DEVENYNS, Omega Pharma-Quick Step, at 3:57
23, Lars Ytting BAK, Lotto-Belisol, at 4:05
24, Maxime MONFORT, RadioShack-Nissan, at 4:06
25, Dominik NERZ, Liquigas-Cannondale, at 4:14
26, Jurgen VAN DEN BROECK, Lotto-Belisol, at 4:22
27, Manuel QUINZIATO, BMC Racing, at 4:24
28, Aliaksandr KUCHYNSKI, Katusha, at 4:28
28, Denis MENCHOV, Katusha, at 4:28
30, Maxime BOUET, Ag2r La Mondiale, at 4:32
31, Andriy GRIVKO, Astana, at 4:37
32, Daniel MARTIN, Garmin-Sharp, at 4:41
33, Sandy CASAR, FDJ-BigMat, at 4:53
34, George HINCAPIE, BMC Racing, at 4:57
35, Yaroslav POPOVYCH, RadioShack-Nissan, at 5:08
36, Eduard VORGANOV, Katusha, at 5:09
37, Johan VAN SUMMEREN, Garmin-Sharp, at 5:11
38, Ivan BASSO, Liquigas-Cannondale, at 5:15
39, Vladimir KARPETS, Movistar, at 5:17
40, Luca PAOLINI, Katusha, at 5:25
41, Thibaut PINOT, FDJ-BigMat, at 5:31
42, Haimar ZUBELDIA AGIRRE, RadioShack-Nissan, at 5:32
43, Kevin DE WEERT, Omega Pharma-Quick Step, at 5:33
43, Christopher HORNER, RadioShack-Nissan, at 5:33
45, Peter SAGAN, Liquigas-Cannondale, at 5:34
46, Kris BOECKMANS, Vacansoleil-DCM, at 5:35
47, Adam HANSEN, Lotto-Belisol, at 5:37
48, Janez BRAJKOVIC, Astana, at 5:38
49, Fredrik Carl Wilhelm KESSIAKOFF, Astana, at 5:48
50, Michele SCARPONI, Lampre-ISD, at 5:49
51, Yann HUGUET, Argos-Shimano, at 5:53
52, Cadel EVANS, BMC Racing, at 5:54
53, Michael ROGERS, Sky, at 5:55
54, Laurens TEN DAM, Rabobank, at 6:01
55, Andrey KASHECHKIN, Astana, at 6:03
56, Maxim IGLINSKY, Astana, at 6:06
56, Yukiya ARASHIRO, Europcar, at 6:06
58, Michael SCHÄR, BMC Racing, at 6:07
58, Christian KNEES, Sky, at 6:07
60, Alexandr VINOKUROV, Astana, at 6:09
61, Borut BOZIC, Astana, at 6:12
61, Michael ALBASINI, Orica-GreenEdge, at 6:12
63, Simon GERRANS, Orica-GreenEdge, at 6:13
64, Egoi MARTINEZ DE ESTEBAN, Euskaltel-Euskadi, at 6:14
64, Pierre ROLLAND, Europcar, at 6:14
66, Julien FOUCHARD, Cofidis, at 6:17
67, Amaël MOINARD, BMC Racing, at 6:18
68, Bernhard EISEL, Sky, at 6:19
69, David MILLAR, Garmin-Sharp, at 6:22
70, Cyril LEMOINE, Saur-Sojasun, at 6:24
70, Albert TIMMER, Argos-Shimano, at 6:24
70, Kristijan KOREN, Liquigas-Cannondale, at 6:24
