2014_stage20,7-26-2014,54
2013_stage17,7-17-2013,32
2013_stage11,7-10-2013,33
2012_stage19,7-21-2012,53.5
2012_stage9,7-9-2012,41.5
2011_stage20,7-26-2011,54
2010_stage19,7-24-2010,52
