55,Netherlands,L. ten Dam,Belkin,+6:03
56,Belgium,J. Keukeleire,Orica,+6:08
57,Germany,A. Schillinger,NetApp,+6:09
58,Poland,R. Majka,Tinkoff - Saxo,+6:10
59,Spain,L. Maté,Cofidis,+6:10
60,France,J. Pineau,IAM Cycling,+6:11
61,Switzerland,M. Albasini,Orica,+6:14
62,Russia,Y. Trofimov,Katyusha,+6:18
63,France,A. Gérard,Bretagne,+6:18
64,Belgium,G. Van Avermaet,BMC Racing,+6:21
65,Luxembourg,F. Schleck,Trek,+6:22
66,Denmark,L. Bak,Lotto,+6:22
67,Switzerland,M. Wyss,IAM Cycling,+6:29
68,Slovakia,P. Sagan,Cannondale,+6:31
69,France,B. Coquard,Europcar,+6:33
70,Italy,M. Scarponi,Astana,+6:37
71,France,M. Delage,FDJ.fr,+6:39
72,Australia,R. Porte,Team Sky,+6:41
73,France,A. Démare,FDJ.fr,+6:44
74,France,N. Edet,Cofidis,+6:52
75,Belgium,J. Bakelants,O.Ph.-Q-Step,+7:03
76,Italy,M. Trentin,O.Ph.-Q-Step,+7:04
77,Spain,M. Nieve,Team Sky,+7:04
78,Australia,M. Rogers,Tinkoff - Saxo,+7:05
79,Australia,Z. Dempster,NetApp,+7:10
80,Netherlands,L. Boom,Belkin,+7:11
81,Netherlands,K. de Kort,Giant,+7:12
82,Belgium,J. Roelandts,Lotto,+7:14
83,United States,C. Horner,Lampre,+7:16
84,Italy,M. Marcato,Cannondale,+7:18
85,Luxembourg,B. Gastauer,AG2R,+7:18
86,France,B. Feillu,Bretagne,+7:21
87,Norway,A. Kristoff,Katyusha,+7:23
88,France,A. Pichot,Europcar,+7:23
89,Germany,R. Kluge,IAM Cycling,+7:26
90,France,P. Rolland,Europcar,+7:26
91,Switzerland,M. Schär,BMC Racing,+7:27
92,Germany,J. Degenkolb,Giant,+7:28
93,Poland,M. Golas,O.Ph.-Q-Step,+7:29
94,France,K. Reza,Europcar,+7:30
95,France,W. Bonnet,FDJ.fr,+7:32
96,Germany,M. Sieberg,Lotto,+7:33
97,Ireland,N. Roche,Tinkoff - Saxo,+7:34
98,Australia,A. Hansen,Lotto,+7:36
99,France,A. Jeannesson,FDJ.fr,+7:36
100,France,R. Molard,Cofidis,+7:37
101,France,B. Jarrier,Bretagne,+7:40
102,Netherlands,A. Timmer,Giant,+7:41
103,United States,P. Stetina,BMC Racing,+7:42
104,Italy,M. Montaguti,AG2R,+7:43
105,France,A. Moinard,BMC Racing,+7:45
106,France,J. Gadret,Movistar,+7:47
107,Italy,D. Bennati,Tinkoff - Saxo,+7:48
108,Spain,R. Plaza,Movistar,+7:50
109,Japan,Y. Arashiro,Europcar,+7:54
110,Canada,C. Meier,Orica,+7:56
111,New Zealand,J. Bauer,Garmin,+7:57
112,Switzerland,S. Reichenbach,IAM Cycling,+7:59
113,Austria,B. Eisel,Team Sky,+8:05
114,Croatia,K. Ðurasek,Lampre,+8:06
115,Italy,M. Tosatto,Tinkoff - Saxo,+8:10
116,Slovenia,K. Koren,Cannondale,+8:14
117,France,F. Guillou,Bretagne,+8:18
118,Netherlands,T. Slagter,Garmin,+8:20
119,Netherlands,B. Tankink,Belkin,+8:28
120,France,C. Gautier,Europcar,+8:34
121,Netherlands,T. Veelers,Giant,+8:41
122,France,S. Minard,AG2R,+8:41
123,Lithuania,R. Navardauskas,Garmin,+8:42
124,France,Y. Gène,Europcar,+8:51
125,Denmark,J. Fuglsang,Astana,+8:53
126,France,J. Simon,Cofidis,+8:55
127,Italy,A. Petacchi,O.Ph.-Q-Step,+8:55
128,Denmark,M. Mørkøv,Tinkoff - Saxo,+8:55
129,Italy,D. Cimolai,Lampre,+8:56
130,Germany,A. Greipel,Lotto,+8:59
131,Netherlands,N. Terpstra,O.Ph.-Q-Step,+9:05
132,Belarus,V. Kiryienka,Team Sky,+9:13
133,Kazakhstan,M. Iglinskiy,Astana,+9:14
134,Belgium,S. Vanmarcke,Belkin,+9:14
135,France,C. Pineau,FDJ.fr,+9:15
136,Australia,S. Clarke,Orica,+9:16
137,France,J. Bideau,Bretagne,+9:18
138,Netherlands,R. Curvers,Giant,+9:19
139,Netherlands,S. Langeveld,Garmin,+9:21
140,Netherlands,B. Mollema,Belkin,+9:26
141,France,A. Fonseca,Bretagne,+9:28
142,Italy,A. De Marchi,Cannondale,+9:30
143,Spain,Joa. Rodríguez,Katyusha,+9:31
144,Germany,J. Voigt,Trek,+9:32
145,Germany,M. Kittel,Giant,+9:33
146,Italy,F. Sabatini,Cannondale,+9:33
147,United States,M. Busche,Trek,+9:41
148,France,J. Marino,Cannondale,+9:43
149,Switzerland,G. Rast,Trek,+9:50
150,Australia,M. Renshaw,O.Ph.-Q-Step,+9:50
151,Netherlands,T. Leezer,Belkin,+9:53
152,Spain,D. López,Team Sky,+9:53
153,Italy,E. Viviani,Cannondale,+9:56
154,Belgium,M. Wynants,Belkin,+9:56
155,France,B. Kadri,AG2R,+10:15
156,France,R. Feillu,Bretagne,+10:33
157,France,S. Dumoulin,AG2R,+10:36
158,France,T. Voeckler,Europcar,+10:48
159,Germany,M. Burghardt,BMC Racing,+11:00
160,Italy,A. Vanotti,Astana,+11:40
161,United States,A. Howes,Garmin,+11:43
162,China,Ji C,Giant,+12:11
163,France,M. Chérel,AG2R,+12:19
164,Italy,L. Paolini,Katyusha,+12:28
