1,Germany,T. Martin,O.Ph.-Q-Step,1:06:21
2,Netherlands,T. Dumoulin,Giant,+1:39
3,Czech Republic,J. Bárta,NetApp,+1:47
4,Italy,V. Nibali,Astana,+1:58
5,Czech Republic,L. König,NetApp,+2:02
6,United States,T. van Garderen,BMC Racing,+2:08
7,France,J. Péraud,AG2R,+2:27
8,France,Sy. Chavanel,IAM Cycling,+2:36
9,Spain,M. Irizar,Trek,+2:39
10,Italy,D. Oss,BMC Racing,+2:58
11,United States,D. Pate,Team Sky,+3:01
12,France,T. Pinot,FDJ.fr,+3:12
13,Switzerland,M. Elmiger,IAM Cycling,+3:12
14,Poland,M. Bodnar,Cannondale,+3:13
15,Canada,S. Tuft,Orica,+3:23
16,Slovakia,P. Velits,BMC Racing,+3:24
17,Portugal,N. Oliveira,Lampre,+3:30
18,Estonia,T. Kangert,Astana,+3:35
19,Australia,L. Durbridge,Orica,+3:38
20,Netherlands,L. Westra,Astana,+3:44
21,Spain,H. Zubeldia,Trek,+3:45
22,Spain,J. Izagirre,Movistar,+4:00
23,Ukraine,A. Grivko,Astana,+4:05
24,Latvia,G. Smukulis,Katyusha,+4:06
25,Italy,Gio. Visconti,Movistar,+4:15
26,France,R. Bardet,AG2R,+4:17
27,Portugal,J. Mendes,NetApp,+4:23
28,Spain,A. Valverde,Movistar,+4:28
29,France,J. Roy,FDJ.fr,+4:30
30,Spain,Je. Herrada,Movistar,+4:31
31,Estonia,R. Taaramäe,Cofidis,+4:41
32,Spain,I. Erviti,Movistar,+4:44
33,Kazakhstan,D. Gruzdev,Astana,+4:56
34,Great Britain,G. Thomas,Team Sky,+5:01
35,France,F. Vachon,Bretagne,+5:06
36,Belgium,J. Vansummeren,Garmin,+5:11
37,France,M. Ladagnous,FDJ.fr,+5:13
38,Russia,V. Isaichev,Katyusha,+5:13
39,France,A. Delaplace,Bretagne,+5:16
40,Spain,B. Intxausti,Movistar,+5:16
41,United States,B. King,Garmin,+5:18
42,Poland,B. Huzarski,NetApp,+5:19
43,France,A. Petit,Cofidis,+5:25
44,France,T. Gallopin,Lotto,+5:31
45,France,C. Lemoine,Cofidis,+5:34
46,Netherlands,S. Kruijswijk,Belkin,+5:43
47,Germany,P. Voß,NetApp,+5:47
48,Colombia,J. Serpa,Lampre,+5:48
49,Portugal,T. Machado,NetApp,+5:50
50,Portugal,S. Paulinho,Tinkoff - Saxo,+5:59
51,France,P. Quémeneur,Europcar,+5:59
52,Belgium,J. Van den Broeck,Lotto,+6:01
53,Poland,M. Kwiatkowski,O.Ph.-Q-Step,+6:02
54,France,C. Riblon,AG2R,+6:02
