71,Spain,J. Flecha,Vacansoleil,+5:21
72,Netherlands,J. Hoogerland,Vacansoleil,+5:21
73,Netherlands,A. Timmer,Argos,+5:24
74,France,K. Reza,Europcar,+5:25
75,France,C. Lemoine,Sojasun,+5:30
76,France,A. Delaplace,Sojasun,+5:33
77,Australia,S. Clarke,Orica,+5:34
78,Great Britain,G. Thomas,Team Sky,+5:34
79,Spain,I. Antón,Euskaltel,+5:39
80,Australia,A. Hansen,Lotto,+5:40
81,France,T. Gallopin,RadioShack,+5:41
82,Spain,E. García,Cofidis,+5:43
83,Australia,M. Goss,Orica,+5:44
84,France,J. Simon,Sojasun,+5:47
85,United States,B. Bookwalter,BMC Racing,+5:47
86,Italy,R. Ferrari,Lampre,+5:50
87,France,Y. Gène,Europcar,+5:51
88,Belgium,J. Bakelants,RadioShack,+5:52
89,Australia,B. Lancaster,Orica,+5:53
90,Spain,J. Hernández,Saxo-Tinkoff,+5:56
91,Slovakia,P. Sagan,Cannondale,+5:58
92,Italy,D. Cimolai,Lampre,+5:58
93,Italy,E. Gasparotto,Astana,+5:59
94,France,A. Vichot,FDJ.fr,+6:02
95,France,J. Cousin,Europcar,+6:02
96,Italy,E. Favilli,Lampre,+6:05
97,Netherlands,R. Gesink,Belkin,+6:06
98,South Africa,D. Impey,Orica,+6:06
99,Spain,M. Astarloza,Euskaltel,+6:06
100,Norway,L. Nordhaug,Belkin,+6:07
101,Italy,D. Malacarne,Europcar,+6:07
102,Uzbekistan,S. Lagutin,Vacansoleil,+6:08
103,France,C. Gautier,Europcar,+6:09
104,Belgium,J. Roelandts,Lotto,+6:10
105,Italy,A. Marangoni,Cannondale,+6:13
106,Netherlands,B. Tankink,Belkin,+6:13
107,France,S. Minard,AG2R,+6:15
108,Belgium,K. Boeckmans,Vacansoleil,+6:16
109,Germany,A. Greipel,Lotto,+6:17
110,Denmark,L. Bak,Lotto,+6:17
111,France,T. Voeckler,Europcar,+6:19
112,Italy,D. Bennati,Saxo-Tinkoff,+6:19
113,Germany,J. Degenkolb,Argos,+6:20
114,Italy,M. Trentin,O.Ph.-Q-Step,+6:21
115,Brazil,M. Fischer,FDJ.fr,+6:21
116,Russia,P. Brutt,Katyusha,+6:23
117,Italy,F. Gavazzi,Astana,+6:24
118,Spain,J. Oroz,Euskaltel,+6:26
119,France,J. Marino,Sojasun,+6:26
120,France,B. Feillu,Sojasun,+6:27
121,France,A. Moinard,BMC Racing,+6:27
122,Denmark,B. Vandborg,Cannondale,+6:30
123,Poland,M. Bodnar,Cannondale,+6:32
124,Belarus,A. Kuchynski,Katyusha,+6:33
125,France,C. Le Mével,Cofidis,+6:35
126,Netherlands,B. van Poppel,Vacansoleil,+6:37
127,Canada,D. Veilleux,Europcar,+6:38
128,Poland,P. Niemiec,Lampre,+6:40
129,Italy,M. Tosatto,Saxo-Tinkoff,+6:40
130,Belgium,G. Steegmans,O.Ph.-Q-Step,+6:41
131,Netherlands,R. Curvers,Argos,+6:43
132,Germany,J. Voigt,RadioShack,+6:47
133,Spain,A. Losada,Katyusha,+6:49
134,Portugal,R. Costa,Movistar,+6:50
135,Australia,S. Gerrans,Orica,+6:50
136,New Zealand,G. Henderson,Lotto,+6:51
137,Switzerland,M. Albasini,Orica,+6:53
138,Russia,E. Vorganov,Katyusha,+6:55
139,France,P. Rolland,Europcar,+6:55
140,Germany,M. Sieberg,Lotto,+6:57
141,Netherlands,T. Leezer,Belkin,+6:57
142,Spain,I. Erviti,Movistar,+6:59
143,Luxembourg,L. Didier,RadioShack,+7:01
144,Norway,A. Kristoff,Katyusha,+7:03
145,Great Britain,P. Kennaugh,Team Sky,+7:04
146,Spain,M. Irizar,RadioShack,+7:04
147,Belgium,M. Wynants,Belkin,+7:05
148,Italy,F. Sabatini,Cannondale,+7:06
149,Australia,C. Meyer,Orica,+7:10
150,Ireland,N. Roche,Saxo-Tinkoff,+7:13
151,Italy,M. Quinziato,BMC Racing,+7:13
152,Germany,M. Burghardt,BMC Racing,+7:17
153,Japan,Y. Arashiro,Europcar,+7:17
154,France,M. Mederel,Sojasun,+7:18
155,Belgium,F. Willems,Lotto,+7:25
156,Netherlands,K. de Kort,Argos,+7:26
157,Italy,Man. Mori,Lampre,+7:26
158,Spain,J. Rojas,Movistar,+7:31
159,Belgium,S. Vanmarcke,Belkin,+7:33
160,Great Britain,M. Cavendish,O.Ph.-Q-Step,+7:35
161,Costa Rica,A. Amador,Movistar,+7:44
162,Kazakhstan,A. Bazayev,Astana,+7:46
163,Netherlands,N. Terpstra,O.Ph.-Q-Step,+7:54
164,France,S. Dumoulin,AG2R,+7:59
165,Canada,S. Tuft,Orica,+8:01
166,Germany,J. Fröhlinger,Argos,+8:03
167,Australia,C. Evans,BMC Racing,+8:04
168,Spain,J. Castroviejo,Movistar,+8:05
169,Latvia,G. Smukulis,Katyusha,+8:15
170,Spain,D. López,Team Sky,+8:20
171,Spain,J. Lobato,Euskaltel,+8:25
172,Great Britain,I. Stannard,Team Sky,+8:48
173,Kazakhstan,D. Muravyev,Astana,+9:03
174,Kazakhstan,A. Lutsenko,Astana,+9:32
175,Lithuania,R. Navardauskas,Garmin,+9:55
176,Netherlands,T. Veelers,Argos,+10:27
177,France,W. Bonnet,FDJ.fr,+10:39
France,J. Péraud,AG2R,Abandoned,
Spain,G. Izagirre,Euskaltel,Did not start,
