1,Great Britain,C. Froome,Team Sky,51:33
2,Spain,A. Contador,Saxo-Tinkoff,9
3,Spain,Joa. Rodríguez,Katyusha,10
4,Czech Republic,R. Kreuziger,Saxo-Tinkoff,23
5,Spain,A. Valverde,Movistar,30
6,Colombia,N. Quintana,Movistar,+1:11
7,Poland,M. Kwiatkowski,O.Ph.-Q-Step,+1:33
8,Denmark,J. Fuglsang,Astana,+1:34
9,United States,A. Talansky,Garmin,+1:41
10,United States,T. van Garderen,BMC Racing,+1:51
11,Netherlands,B. Mollema,Belkin,+2:09
12,Belgium,M. Monfort,RadioShack,+2:17
13,Australia,M. Rogers,Saxo-Tinkoff,+2:25
14,Spain,J. Izagirre,Euskaltel,+2:25
15,Luxembourg,A. Schleck,RadioShack,+2:27
16,Netherlands,L. ten Dam,Belkin,+2:29
17,Netherlands,L. Westra,Vacansoleil,+2:29
18,Estonia,R. Taaramäe,Cofidis,+2:40
19,Belgium,T. De Gendt,Vacansoleil,+2:41
20,Italy,A. De Marchi,Cannondale,+2:42
21,Germany,A. Klöden,RadioShack,+2:46
22,Spain,D. Navarro,Cofidis,+2:49
23,Slovakia,P. Velits,O.Ph.-Q-Step,+2:49
24,France,A. Jeannesson,FDJ.fr,+2:53
25,France,C. Riblon,AG2R,+2:54
26,France,A. Geniez,FDJ.fr,+2:57
27,Germany,T. Martin,O.Ph.-Q-Step,+3:06
28,Canada,R. Hesjedal,Garmin,+3:07
29,France,Sy. Chavanel,O.Ph.-Q-Step,+3:12
30,Spain,R. Plaza,Movistar,+3:15
31,Italy,M. Moser,Cannondale,+3:20
32,Ireland,D. Martin,Garmin,+3:22
33,France,J. Roy,FDJ.fr,+3:27
34,France,R. Sicard,Euskaltel,+3:28
35,France,J. Gadret,AG2R,+3:31
36,France,J. El Farès,Sojasun,+3:43
37,France,P. Fédrigo,FDJ.fr,+3:44
38,Spain,M. Nieve,Euskaltel,+3:45
39,France,J. Coppel,Cofidis,+3:45
40,France,R. Molard,Cofidis,+3:47
41,Australia,S. O'Grady,Orica,+3:51
42,France,R. Bardet,AG2R,+3:53
43,Spain,D. Moreno,Katyusha,+4:00
44,Spain,H. Zubeldia,RadioShack,+4:15
45,France,A. Vuillermoz,Sojasun,+4:15
46,Germany,M. Kittel,Argos,+4:17
47,United States,T. Danielson,Garmin,+4:18
48,France,J. Hivert,Sojasun,+4:23
49,France,G. Levarlet,Cofidis,+4:23
50,Belgium,P. Gilbert,BMC Racing,+4:30
51,Russia,Y. Trofimov,Katyusha,+4:32
52,Germany,S. Geschke,Argos,+4:35
53,Belarus,K. Sivtsov,Team Sky,+4:39
54,Belgium,B. De Clercq,Lotto,+4:39
55,Colombia,J. Serpa,Lampre,+4:44
56,Great Britain,D. Millar,Garmin,+4:45
57,Australia,R. Porte,Team Sky,+4:49
58,Portugal,S. Paulinho,Saxo-Tinkoff,+4:49
59,Netherlands,T. Dumoulin,Argos,+4:52
60,Slovenia,K. Koren,Cannondale,+4:52
61,Switzerland,S. Morabito,BMC Racing,+4:54
62,Netherlands,L. Boom,Belkin,+4:55
63,New Zealand,J. Bauer,Garmin,+5:07
64,Spain,R. Pérez,Euskaltel,+5:09
65,Italy,D. Cunego,Lampre,+5:10
66,Netherlands,W. Poels,Vacansoleil,+5:12
67,France,B. Kadri,AG2R,+5:12
68,Spain,L. Maté,Cofidis,+5:17
69,France,J. Pineau,O.Ph.-Q-Step,+5:18
70,France,H. Dupont,AG2R,+5:19
