47,Russia,P. Brutt,Katyusha,+3:15
48,New Zealand,J. Bauer,Garmin,+3:17
49,United States,T. van Garderen,BMC Racing,+3:19
50,France,C. Riblon,AG2R,+3:20
51,Belgium,J. Bakelants,RadioShack,+3:22
52,France,P. Fédrigo,FDJ.fr,+3:25
53,Norway,E. Boasson Hagen,Team Sky,+3:27
54,Colombia,N. Quintana,Movistar,+3:28
55,France,T. Pinot,FDJ.fr,+3:28
56,Spain,Joa. Rodríguez,Katyusha,+3:29
57,Italy,M. Quinziato,BMC Racing,+3:29
58,Spain,D. Moreno,Katyusha,+3:30
59,Australia,S. Gerrans,Orica,+3:30
60,France,C. Lemoine,Sojasun,+3:32
61,France,C. Gautier,Europcar,+3:33
62,Ireland,D. Martin,Garmin,+3:36
63,Netherlands,W. Poels,Vacansoleil,+3:36
64,Netherlands,A. Timmer,Argos,+3:37
65,Great Britain,I. Stannard,Team Sky,+3:38
66,Great Britain,G. Thomas,Team Sky,+3:40
67,Canada,D. Veilleux,Europcar,+3:40
68,Spain,M. Irizar,RadioShack,+3:40
69,Germany,A. Klöden,RadioShack,+3:42
70,Italy,D. Malacarne,Europcar,+3:42
71,Italy,M. Tosatto,Saxo-Tinkoff,+3:47
72,Italy,A. De Marchi,Cannondale,+3:48
73,Lithuania,R. Navardauskas,Garmin,+3:48
74,Italy,D. Cunego,Lampre,+3:51
75,Australia,A. Hansen,Lotto,+3:52
76,Australia,B. Lancaster,Orica,+3:53
77,Australia,C. Meyer,Orica,+3:56
78,Portugal,S. Paulinho,Saxo-Tinkoff,+3:56
79,Italy,A. Marangoni,Cannondale,+3:57
80,Italy,F. Gavazzi,Astana,+3:58
81,Netherlands,N. Terpstra,O.Ph.-Q-Step,+3:59
82,Russia,Y. Trofimov,Katyusha,+4:00
83,Russia,E. Vorganov,Katyusha,+4:00
84,France,A. Moinard,BMC Racing,+4:01
85,France,K. Reza,Europcar,+4:01
86,Belgium,B. De Clercq,Lotto,+4:06
87,Denmark,B. Vandborg,Cannondale,+4:07
88,Australia,M. Goss,Orica,+4:07
89,Netherlands,D. van Poppel,Vacansoleil,+4:08
90,France,M. Mederel,Sojasun,+4:10
91,France,P. Rolland,Europcar,+4:16
92,Belgium,M. Wynants,Belkin,+4:16
93,Spain,H. Zubeldia,RadioShack,+4:16
94,Costa Rica,A. Amador,Movistar,+4:19
95,Italy,Man. Mori,Lampre,+4:19
96,Spain,I. Antón,Euskaltel,+4:20
97,Spain,M. Astarloza,Euskaltel,+4:22
98,Spain,I. Erviti,Movistar,+4:22
99,Spain,J. Rojas,Movistar,+4:23
100,South Africa,D. Impey,Orica,+4:24
101,France,R. Sicard,Euskaltel,+4:27
102,France,J. Cousin,Europcar,+4:28
103,Japan,Y. Arashiro,Europcar,+4:29
104,Italy,E. Gasparotto,Astana,+4:29
105,Switzerland,M. Albasini,Orica,+4:30
106,Spain,D. Navarro,Cofidis,+4:32
107,Slovenia,K. Koren,Cannondale,+4:32
108,Poland,P. Niemiec,Lampre,+4:33
109,Italy,D. Cimolai,Lampre,+4:35
110,United States,T. Danielson,Garmin,+4:35
111,Netherlands,B. Tankink,Belkin,+4:36
112,France,J. Simon,Sojasun,+4:38
113,Brazil,M. Fischer,FDJ.fr,+4:38
114,France,T. Voeckler,Europcar,+4:39
115,Uzbekistan,S. Lagutin,Vacansoleil,+4:39
116,France,A. Vuillermoz,Sojasun,+4:40
117,Belarus,A. Kuchynski,Katyusha,+4:40
118,France,R. Bardet,AG2R,+4:40
119,Netherlands,J. Hoogerland,Vacansoleil,+4:41
120,France,R. Molard,Cofidis,+4:42
121,France,A. Jeannesson,FDJ.fr,+4:43
122,Spain,L. Maté,Cofidis,+4:44
123,Luxembourg,A. Schleck,RadioShack,+4:44
124,Germany,S. Geschke,Argos,+4:45
125,Spain,E. García,Cofidis,+4:46
126,France,H. Dupont,AG2R,+4:46
127,France,B. Feillu,Sojasun,+4:46
128,France,A. Vichot,FDJ.fr,+4:48
129,Australia,S. O'Grady,Orica,+4:48
130,Italy,M. Trentin,O.Ph.-Q-Step,+4:52
131,Germany,J. Degenkolb,Argos,+4:55
132,Australia,S. Clarke,Orica,+4:57
133,France,Y. Gène,Europcar,+4:59
134,New Zealand,G. Henderson,Lotto,+5:00
135,Great Britain,P. Kennaugh,Team Sky,+5:00
136,Canada,R. Hesjedal,Garmin,+5:02
137,France,C. Le Mével,Cofidis,+5:03
138,Belgium,G. Steegmans,O.Ph.-Q-Step,+5:04
139,Germany,A. Greipel,Lotto,+5:05
140,France,S. Minard,AG2R,+5:06
141,United States,B. Bookwalter,BMC Racing,+5:06
142,France,B. Kadri,AG2R,+5:08
143,Italy,E. Favilli,Lampre,+5:10
144,Spain,A. Losada,Katyusha,+5:12
145,Belgium,S. Vanmarcke,Belkin,+5:13
146,France,G. Levarlet,Cofidis,+5:14
147,Norway,A. Kristoff,Katyusha,+5:15
148,Netherlands,K. de Kort,Argos,+5:15
149,Belgium,J. Roelandts,Lotto,+5:16
150,Luxembourg,L. Didier,RadioShack,+5:16
151,Norway,L. Nordhaug,Belkin,+5:16
152,Spain,J. Oroz,Euskaltel,+5:17
153,Italy,D. Bennati,Saxo-Tinkoff,+5:17
154,France,J. Gadret,AG2R,+5:17
155,France,S. Dumoulin,AG2R,+5:18
156,Germany,M. Sieberg,Lotto,+5:20
157,Spain,M. Nieve,Euskaltel,+5:21
158,Spain,G. Izagirre,Euskaltel,+5:23
159,Kazakhstan,D. Muravyev,Astana,+5:23
160,France,W. Bonnet,FDJ.fr,+5:24
161,France,J. Marino,Sojasun,+5:24
162,Germany,J. Fröhlinger,Argos,+5:28
163,Great Britain,M. Cavendish,O.Ph.-Q-Step,+5:31
164,France,J. Pineau,O.Ph.-Q-Step,+5:32
165,Italy,R. Ferrari,Lampre,+5:34
166,Germany,J. Voigt,RadioShack,+5:36
167,Belgium,K. Boeckmans,Vacansoleil,+5:37
168,Spain,R. Pérez,Euskaltel,+5:41
169,Italy,F. Sabatini,Cannondale,+5:42
170,Spain,J. Hernández,Saxo-Tinkoff,+5:44
171,France,J. El Farès,Sojasun,+5:54
172,Germany,M. Kittel,Argos,+6:00
173,Italy,M. Moser,Cannondale,+6:00
174,Belgium,F. Willems,Lotto,+6:02
175,Netherlands,T. Veelers,Argos,+6:04
176,Netherlands,R. Curvers,Argos,+6:08
177,Netherlands,B. van Poppel,Vacansoleil,+6:10
178,France,J. Hivert,Sojasun,+6:13
179,Spain,J. Lobato,Euskaltel,+6:13
180,Netherlands,T. Leezer,Belkin,+6:44
181,Spain,D. López,Team Sky,+6:49
182,Kazakhstan,A. Bazayev,Astana,+7:21
