1,Germany,T. Martin,O.Ph.-Q-Step,36:29
2,Great Britain,C. Froome,Team Sky,12
3,Belgium,T. De Gendt,Vacansoleil,+1:01
4,Australia,R. Porte,Team Sky,+1:21
5,Poland,M. Kwiatkowski,O.Ph.-Q-Step,+1:31
6,Canada,S. Tuft,Orica,+1:35
7,France,Sy. Chavanel,O.Ph.-Q-Step,+1:37
8,France,J. Roy,FDJ.fr,+1:43
9,Netherlands,T. Dumoulin,Argos,+1:45
10,Spain,J. Castroviejo,Movistar,+1:52
11,Netherlands,B. Mollema,Belkin,+2:05
12,United States,A. Talansky,Garmin,+2:08
13,Spain,A. Valverde,Movistar,+2:12
14,Denmark,L. Bak,Lotto,+2:15
15,Spain,A. Contador,Saxo-Tinkoff,+2:15
16,Czech Republic,R. Kreuziger,Saxo-Tinkoff,+2:18
17,Slovakia,P. Sagan,Cannondale,+2:18
18,Poland,M. Bodnar,Cannondale,+2:21
19,France,J. Péraud,AG2R,+2:22
20,Australia,M. Rogers,Saxo-Tinkoff,+2:26
21,Australia,C. Evans,BMC Racing,+2:30
22,Netherlands,L. ten Dam,Belkin,+2:32
23,Spain,R. Plaza,Movistar,+2:32
24,Slovakia,P. Velits,O.Ph.-Q-Step,+2:32
25,Belgium,M. Monfort,RadioShack,+2:33
26,Great Britain,D. Millar,Garmin,+2:34
27,Colombia,J. Serpa,Lampre,+2:34
28,Ireland,N. Roche,Saxo-Tinkoff,+2:35
29,France,T. Gallopin,RadioShack,+2:37
30,Netherlands,L. Westra,Vacansoleil,+2:37
31,Spain,J. Izagirre,Euskaltel,+2:37
32,Belarus,K. Sivtsov,Team Sky,+2:39
33,Latvia,G. Smukulis,Katyusha,+2:40
34,Netherlands,L. Boom,Belkin,+2:43
35,France,A. Geniez,FDJ.fr,+2:47
36,Estonia,R. Taaramäe,Cofidis,+2:50
37,Denmark,J. Fuglsang,Astana,+2:53
38,Belgium,P. Gilbert,BMC Racing,+2:55
39,Kazakhstan,A. Lutsenko,Astana,+2:57
40,Switzerland,S. Morabito,BMC Racing,+2:57
41,France,J. Coppel,Cofidis,+3:04
42,Portugal,R. Costa,Movistar,+3:04
43,France,A. Delaplace,Sojasun,+3:07
44,Netherlands,R. Gesink,Belkin,+3:09
45,Germany,M. Burghardt,BMC Racing,+3:10
46,Spain,J. Flecha,Vacansoleil,+3:11
