130,Spain,B. Intxausti,Movistar,57
131,Kazakhstan,M. Iglinskiy,Astana,57
132,France,N. Edet,Cofidis,+1:02
133,France,C. Pineau,FDJ.fr,+1:02
134,Australia,A. Hansen,Lotto,+1:04
135,Italy,F. Sabatini,Cannondale,+1:06
136,Germany,M. Burghardt,BMC Racing,+1:08
137,Italy,L. Paolini,Katyusha,+1:12
138,Italy,A. De Marchi,Cannondale,+1:17
139,France,J. Marino,Cannondale,+1:17
140,Australia,S. Clarke,Orica,+1:20
141,Australia,L. Durbridge,Orica,+1:20
142,Canada,C. Meier,Orica,+1:20
143,United States,D. Pate,Team Sky,+1:20
144,Canada,S. Tuft,Orica,+1:20
145,France,R. Molard,Cofidis,+1:20
146,Spain,Joa. Rodríguez,Katyusha,+1:20
147,Russia,V. Isaichev,Katyusha,+1:20
148,France,T. Gallopin,Lotto,+1:20
149,France,J. Pineau,IAM Cycling,+1:20
150,Estonia,R. Taaramäe,Cofidis,+1:20
151,France,A. Gérard,Bretagne,+1:20
152,Belgium,M. Wynants,Belkin,+1:20
153,Netherlands,T. Leezer,Belkin,+1:20
154,France,A. Jeannesson,FDJ.fr,+1:20
155,France,C. Lemoine,Cofidis,+1:26
156,Poland,M. Kwiatkowski,O.Ph.-Q-Step,+1:30
157,Denmark,L. Bak,Lotto,+1:41
158,Australia,Z. Dempster,NetApp,24
159,France,F. Vachon,Bretagne,24
160,Spain,Je. Herrada,Movistar,+1:59
161,Belarus,V. Kiryienka,Team Sky,+3:39
162,France,B. Kadri,AG2R,+4:05
163,France,A. Pichot,Europcar,+4:33
164,China,Ji C,Giant,+9:25
